"Contig"	"TAIRaccessions"	"intQ"	"originQ"	"trtQ"	"covQ"	"GOterms"
"Contig10108"	"Contig10108"	"AT1G27000,AT5G54800"	0.749245656248537	0.110732843754801	0.00347174758504512	0.983137397088293	"GO:0005315, GO:0007033, GO:0007033, GO:0009507, GO:0009553, GO:0009624, GO:0009790, GO:0010152, GO:0015120, GO:0015152, GO:0015152, GO:0015297, GO:0015713, GO:0015714, GO:0015760, GO:0016021, GO:0034389, GO:0034389, GO:0035436, GO:0035436, GO:0071917, GO:0003677, GO:0006355, GO:0006355"
"Contig10113"	"Contig10113"	"AT5G38380,NA"	0.590484995284474	0.483431358533984	0.195732338207197	0.0381194194841609	"GO:0003674, GO:0008150, GO:0016020, GO:0016020"
"Contig10114"	"Contig10114"	"AT5G51780,NA"	0.676873323153388	0.257353031733087	0.0391338858761691	1	"GO:0003677, GO:0003700, GO:0003700, GO:0005634, GO:0006355, GO:0006355"
"Contig10117"	"Contig10117"	"AT5G07630,NA"	0.556257432477062	0.211079055930982	0.022782289908868	0.196009749069176	"GO:0000280, GO:0000280, GO:0005319, GO:0006869, GO:0016020, GO:0016020"
"Contig10121"	"Contig10121"	"AT5G65790,NA"	0.84085923833729	1	0.0229100655607878	1	"GO:0003677, GO:0003700, GO:0006355, GO:0006355, GO:0009739, GO:0009751"
"Contig10123"	"Contig10123"	"AT3G02500,NA"	0.135225009851571	0.428676692088469	0.00606340201505761	1	"GO:0003674, GO:0005575, GO:0008150"
"Contig10124"	"Contig10124"	"AT2G22540,AT4G27290"	0.825351862585295	1	0.00160013497198269	0.504614973478349	"GO:0004672, GO:0004672, GO:0004672, GO:0004672, GO:0004674, GO:0004674, GO:0005524, GO:0005529, GO:0006468, GO:0006468, GO:0006468, GO:0012505, GO:0048544, GO:0000900, GO:0003700, GO:0003700, GO:0003700, GO:0003700, GO:0003700, GO:0003700, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005634, GO:0009266, GO:0009910, GO:0010076, GO:0010076, GO:0010582, GO:0045892, GO:0045892, GO:0048438"
"Contig1014"	"Contig1014"	"AT5G41600,NA"	0.778278071524893	0.851675824743903	0.000565492435344777	1	"GO:0005783, GO:0005789, GO:0005789, GO:0005789, GO:0005789, GO:0005886, GO:0009506, GO:0071458, GO:0071458, GO:0071458, GO:0071458, GO:0071782, GO:0071782, GO:0071782, GO:0071786, GO:0071786"
"Contig10153"	"Contig10153"	"AT4G04330,NA"	0.865241307045443	0.082415553823694	0.0188260525817343	0.698044773223354	"GO:0009409, GO:0009409, GO:0009414, GO:0009414, GO:0009534, GO:0009534, GO:0009534, GO:0009534, GO:0009651, GO:0009651, GO:0044183, GO:0061077, GO:0061077, GO:0061077"
"Contig10158"	"Contig10158"	"AT1G56180,NA"	0.865241307045443	0.81896395225827	0.520561088565474	0.0432883288791389	"GO:0008150, GO:0009507"
"Contig10159"	"Contig10159"	"AT4G24250,NA"	0.622646395024833	1	0.0222190460592249	0.385708757813032	"GO:0005516, GO:0005886, GO:0006952, GO:0008219, GO:0008219, GO:0016021"
"Contig10161"	"Contig10161"	"AT3G26670,NA"	0.691346161115583	0.0374290847743992	0.398558669198803	0.412477746464217	"GO:0003674, GO:0008150"
"Contig10166"	"Contig10166"	"AT1G60000,NA"	0.287780433936014	1	0.0367858999313068	0.661910620150935	"GO:0000166, GO:0003676, GO:0003723, GO:0008150, GO:0009507, GO:0009507"
"Contig10167"	"Contig10167"	"NA,NA"	0.649718755390551	1	0.0365375080532753	0.274599280027907	NA
"Contig10169"	"Contig10169"	"AT3G03890,NA"	0.459430611558218	0.357939829417492	0.00959869910076607	0.304327013385117	"GO:0009507, GO:0009507, GO:0010181, GO:0010181, GO:0010181, GO:0010181"
"Contig10171"	"Contig10171"	"AT3G12930,AT3G54840"	0.812730313134413	0.174416051408776	0.0318994844463402	1	"GO:0003924, GO:0005515, GO:0005525, GO:0005768, GO:0005768, GO:0005769, GO:0005769, GO:0005769, GO:0005769, GO:0005769, GO:0005769, GO:0006499, GO:0006499, GO:0006499, GO:0010009, GO:0010009, GO:0010009, GO:0045022, GO:0045022, GO:0008150, GO:0009507"
"Contig10173"	"Contig10173"	"NA,NA"	0.394838699472884	0.0890614816967656	0.0317079231851925	0.760347608051411	NA
"Contig10176"	"Contig10176"	"AT1G18470,NA"	0.714745878795438	0.581847493252946	0.00382600125093651	0.128381971737619	"GO:0008270, GO:0008270"
"Contig10178"	"Contig10178"	"AT5G22920,NA"	0.754500761758278	0.953107012431926	0.0901582518712062	0.0409465626711119	"GO:0008270, GO:0008270"
"Contig10192"	"Contig10192"	"AT1G27180,NA"	0.865241307045443	0.0431824232625049	0.328393813598073	0.0390543960202913	"GO:0004888, GO:0005524, GO:0006952, GO:0006952, GO:0007165, GO:0031224, GO:0045087"
"Contig10201"	"Contig10201"	"AT5G61570,ATCG01010"	0.519718924299021	0.316390525430007	0.024924008351934	0.375473191341592	"GO:0003954, GO:0009507, GO:0009507, GO:0015979, GO:0015979, GO:0004672, GO:0004672, GO:0004672, GO:0004672, GO:0004674, GO:0004674, GO:0005524, GO:0005524, GO:0006468, GO:0006468, GO:0006468, GO:0006468, GO:0006468, GO:0006468, GO:0012505, GO:0012505, GO:0016301"
"Contig10208"	"Contig10208"	"AT3G23990,AT2G45990"	0.594263733223084	0.0433871982573166	0.27814547414309	0.121974743267767	"GO:0003674, GO:0008150, GO:0009507, GO:0009507, GO:0009507, GO:0009507, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0005507, GO:0005524, GO:0005739, GO:0005739, GO:0005739, GO:0005739, GO:0005739, GO:0005739, GO:0005759, GO:0005759, GO:0005759, GO:0005774, GO:0005774, GO:0005774, GO:0005829, GO:0007005, GO:0007005, GO:0009408, GO:0009408, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0022626, GO:0046686, GO:0051131, GO:0051131"
"Contig10209"	"Contig10209"	"AT5G45950,AT3G10640"	0.622113248707775	0.525926636539259	0.0179150496984494	0.314999365716022	"GO:0004091, GO:0006629, GO:0012505, GO:0016788, GO:0016192, GO:0016192"
"Contig10211"	"Contig10211"	"AT1G17840,ATCG00130"	0.587359950222673	1	0.000854298592196278	0.676622643977954	"GO:0009507, GO:0009507, GO:0009534, GO:0009534, GO:0009534, GO:0009534, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009579, GO:0042776, GO:0042776, GO:0042776, GO:0045259, GO:0045259, GO:0045333, GO:0045333, GO:0046933, GO:0005886, GO:0005886, GO:0009611, GO:0009651, GO:0009651, GO:0009737, GO:0009897, GO:0009897, GO:0015245, GO:0015908, GO:0042626, GO:0042626, GO:0080051"
"Contig10218"	"Contig10218"	"AT5G54800,NA"	0.771830531972628	1	0.00144431104709912	0.583662889527745	"GO:0005315, GO:0007033, GO:0007033, GO:0009507, GO:0009553, GO:0009624, GO:0009790, GO:0010152, GO:0015120, GO:0015152, GO:0015152, GO:0015297, GO:0015713, GO:0015714, GO:0015760, GO:0016021, GO:0034389, GO:0034389, GO:0035436, GO:0035436, GO:0071917"
"Contig10221"	"Contig10221"	"AT3G52110,AT1G78280"	0.648846892007459	1	0.151426574468548	0.0332181388191344	"GO:0005829, GO:0007166, GO:0016757, GO:0003674, GO:0008150"
"Contig10223"	"Contig10223"	"AT1G06470,NA"	0.725119392330907	0.651478342389286	0.00650932573154019	0.716036748946079	"GO:0016020"
"Contig10238"	"Contig10238"	"AT5G55850,NA"	0.724080053893444	1	0.0165950826110234	1	"GO:0003674, GO:0005886, GO:0010167"
"Contig1024"	"Contig1024"	"NA,NA"	0.865241307045443	1	0.0272364622863096	0.88054835295215	NA
"Contig10250"	"Contig10250"	"AT2G31960,NA"	0.752338808242527	1	0.0134791002275601	1	"GO:0000148, GO:0000148, GO:0003843, GO:0003843, GO:0005886, GO:0006075, GO:0006075, GO:0006075, GO:0006075, GO:0006075, GO:0006075, GO:0016757"
"Contig10252"	"Contig10252"	"AT3G50780,NA"	0.314161974851009	0.566342581049448	0.041777301280377	1	"GO:0005575, GO:0008150"
"Contig10258"	"Contig10258"	"AT5G34940,NA"	0.855760115528197	1	0.00714810648265783	0.46517487729692	"GO:0004566, GO:0004566, GO:0008150, GO:0009505, GO:0009505, GO:0009505"
"Contig10260"	"Contig10260"	"AT5G15070,AT1G11890"	0.865241307045443	1	0.00679464226315926	0.327490140763302	"GO:0005215, GO:0005783, GO:0005794, GO:0005886, GO:0006810, GO:0016020, GO:0016192, GO:0016192, GO:0016192, GO:0016192, GO:0003993, GO:0003993, GO:0005575, GO:0016491, GO:0016491, GO:0046914, GO:0046914, GO:0055114, GO:0055114"
"Contig10262"	"Contig10262"	"AT3G57060,NA"	0.774255030412269	1	0.0100681935883724	1	"GO:0000796, GO:0005488, GO:0005488, GO:0005634, GO:0005634, GO:0007067, GO:0007067, GO:0007067, GO:0007067, GO:0030261, GO:0030261, GO:0030261, GO:0030261, GO:0030261, GO:0030261, GO:0030261, GO:0030261, GO:0030261"
"Contig10267"	"Contig10267"	"AT5G36700,AT5G24310"	0.820074866813974	1	0.45990080133591	0.0466346101862282	"GO:0008152, GO:0008152, GO:0008152, GO:0008152, GO:0008967, GO:0008967, GO:0009507, GO:0009507, GO:0009507, GO:0009507, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0003674, GO:0010090, GO:0010090, GO:0010090, GO:0015630, GO:0048364"
"Contig10268"	"Contig10268"	"AT1G55520,AT1G15380"	0.676568002979218	0.985940288688572	0.000700706884764598	1	"GO:0003677, GO:0005515, GO:0005634, GO:0006352, GO:0006352, GO:0017025, GO:0004462, GO:0005975"
"Contig10274"	"Contig10274"	"AT2G45660,NA"	0.693596350782413	0.191291021634435	0.00751578757485244	0.642534933371661	"GO:0000060, GO:0000060, GO:0003700, GO:0003700, GO:0003700, GO:0003700, GO:0003700, GO:0003700, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005634, GO:0005634, GO:0005737, GO:0008134, GO:0009409, GO:0009409, GO:0009739, GO:0009908, GO:0009911, GO:0009911, GO:0010077, GO:0010077, GO:0045893, GO:0045893"
"Contig10279"	"Contig10279"	"AT3G63140,AT4G26630"	0.865241307045443	0.0203374610337711	0.00044211199907583	0.020707832105457	"GO:0005829, GO:0005829, GO:0003729, GO:0006364, GO:0006364, GO:0008266, GO:0009507, GO:0009507, GO:0009534, GO:0009534, GO:0009534, GO:0009534, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009579, GO:0009941, GO:0009941, GO:0009941, GO:0009941, GO:0010287, GO:0010287, GO:0010287, GO:0010287, GO:0010287, GO:0010287, GO:0010287, GO:0010287, GO:0048046"
"Contig10283"	"Contig10283"	"AT1G78780,AT4G05170"	0.84365345816185	0.110835571451377	0.00636850410213161	0.750111312718231	"GO:0003674, GO:0008150, GO:0003677, GO:0003700, GO:0003700, GO:0005634, GO:0006355, GO:0006355"
"Contig10288"	"Contig10288"	"AT1G21150,AT3G61400"	0.832352828073903	0.0785300361827013	2.76102000739307e-05	1	"GO:0005575, GO:0008150, GO:0009815, GO:0003674, GO:0005575, GO:0008150"
"Contig10292"	"Contig10292"	"AT2G44610,NA"	0.829291565530901	0.35183805013712	0.00360257486972185	0.863071676332179	"GO:0000139, GO:0000139, GO:0000139, GO:0000139, GO:0005515, GO:0005525, GO:0005525, GO:0005525, GO:0005624, GO:0005774, GO:0005774, GO:0005774, GO:0005829, GO:0005829, GO:0005886, GO:0009506, GO:0032940, GO:0032940"
"Contig10293"	"Contig10293"	"AT2G47650,AT4G27240"	0.736874211505936	1	0.000358937774619701	0.213948558886063	"GO:0003824, GO:0005773, GO:0005773, GO:0005774, GO:0005774, GO:0005774, GO:0005794, GO:0009225, GO:0009225, GO:0016020, GO:0016020, GO:0042732, GO:0042732, GO:0048040, GO:0003676, GO:0003700, GO:0005622, GO:0006355, GO:0006355, GO:0008270"
"Contig1030"	"Contig1030"	"AT5G47080,AT5G54750"	0.836214938227333	1	0.0243273519204562	1	"GO:0003674, GO:0006888, GO:0006888, GO:0004674, GO:0004674, GO:0005515, GO:0005956, GO:0005956, GO:0006468, GO:0006468, GO:0006468, GO:0019887, GO:0019887, GO:0071900, GO:0071900, GO:0071900"
"Contig10309"	"Contig10309"	"AT1G45230,AT2G45140"	0.528710763199471	0.333098442491584	0.00817981416829776	1	"GO:0003674, GO:0008150, GO:0009507, GO:0009507, GO:0005198, GO:0005198, GO:0005515, GO:0005634, GO:0005783, GO:0005783, GO:0005829, GO:0005886, GO:0005886, GO:0005886, GO:0006605, GO:0006605"
"Contig10316"	"Contig10316"	"AT2G26150,NA"	0.500132833196434	1	2.18092400323799e-06	1	"GO:0001666, GO:0003677, GO:0003700, GO:0003700, GO:0005515, GO:0005634, GO:0005634, GO:0005634, GO:0009408, GO:0009408, GO:0009408, GO:0009408, GO:0009408, GO:0009408, GO:0009644, GO:0010200, GO:0010286, GO:0010286, GO:0012505, GO:0034605, GO:0034605, GO:0034605, GO:0034620, GO:0034620, GO:0034620, GO:0034620, GO:0034620, GO:0034620, GO:0042542, GO:0042542, GO:0045893, GO:0045893, GO:0045893, GO:0045893, GO:0071456, GO:0071456"
"Contig10320"	"Contig10320"	"AT3G15358,AT4G35860"	0.865241307045443	1	0.0177024925680404	0.0878754641426787	"GO:0003674, GO:0003674, GO:0008150, GO:0012505, GO:0005525, GO:0005525, GO:0007264, GO:0007264, GO:0009507, GO:0009507, GO:0015031, GO:0015031"
"Contig10332"	"Contig10332"	"AT4G26790,NA"	0.669418081902451	0.835423339353335	0.0041956008258777	0.209060533509617	"GO:0004091, GO:0006629, GO:0006629, GO:0012505, GO:0012505, GO:0016788, GO:0016788"
"Contig10335"	"Contig10335"	"AT4G14240,AT1G28490"	0.36639711257758	0.756738486344437	0.000263499857626921	1	"GO:0005484, GO:0005515, GO:0005802, GO:0005802, GO:0005802, GO:0006886, GO:0006886, GO:0006886, GO:0006886, GO:0006944, GO:0006944, GO:0030140, GO:0030140, GO:0030140, GO:0003674, GO:0005575, GO:0008150"
"Contig10344"	"Contig10344"	"AT5G09650,AT2G26300"	0.692390551849977	1	0.0396932723588725	0.460005926272837	"GO:0004427, GO:0004427, GO:0004427, GO:0008152, GO:0009507, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009570, GO:0009579, GO:0009651, GO:0009651, GO:0009941, GO:0009941, GO:0009941, GO:0009941, GO:0016020, GO:0016462, GO:0042742, GO:0042742, GO:0044434, GO:0044434, GO:0044434, GO:0044434, GO:0046686, GO:0001664, GO:0001789, GO:0003924, GO:0003924, GO:0003924, GO:0004871, GO:0004871, GO:0005095, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005515, GO:0005525, GO:0005789, GO:0005789, GO:0005789, GO:0005789, GO:0005834, GO:0005834, GO:0005834, GO:0005834, GO:0005834, GO:0005834, GO:0005886, GO:0005886, GO:0005886, GO:0005886, GO:0005886, GO:0006499, GO:0006499, GO:0006499, GO:0006571, GO:0006571, GO:0007186, GO:0007188, GO:0008219, GO:0009094, GO:0009094, GO:0009506, GO:0009738, GO:0009738, GO:0009738, GO:0009738, GO:0009740, GO:0009740, GO:0009749, GO:0009785, GO:0009785, GO:0009785, GO:0009788, GO:0009788, GO:0009789, GO:0009789, GO:0009845, GO:0009845, GO:0010027, GO:0010027, GO:0010119, GO:0010119, GO:0010244, GO:0016247, GO:0031234, GO:0031234, GO:0031234, GO:0031683, GO:0042127, GO:0051020, GO:0071215, GO:0072593, GO:0072593"
"Contig10346"	"Contig10346"	"AT3G04400,AT4G18700"	0.599215468386128	0.136538788377972	0.0114485181571657	0.483342723752183	"GO:0003735, GO:0003735, GO:0003735, GO:0005840, GO:0006412, GO:0006412, GO:0006412, GO:0009793, GO:0022625, GO:0022625, GO:0022625, GO:0022625, GO:0004672, GO:0004672, GO:0004674, GO:0004674, GO:0005524, GO:0006468, GO:0006468, GO:0006468, GO:0007165, GO:0016301"
"Contig10354"	"Contig10354"	"AT5G59150,AT3G18680"	0.754727675118276	1	0.000117611253578821	0.491111276956428	"GO:0005525, GO:0005525, GO:0005768, GO:0005768, GO:0005886, GO:0007264, GO:0009504, GO:0009504, GO:0015031, GO:0006221, GO:0006221, GO:0006221, GO:0006221, GO:0008652, GO:0008652, GO:0009041, GO:0009041, GO:0009507, GO:0033862, GO:0033862"
"Contig10355"	"Contig10355"	"NA,NA"	0.477018005641299	1	0.00136143749462796	0.682483117188383	NA
"Contig10357"	"Contig10357"	"AT1G15250,NA"	0.827728469222269	0.997446493877288	0.00263606019671565	0.449095845867751	"GO:0003735, GO:0003735, GO:0005840, GO:0006412, GO:0006412, GO:0006412, GO:0006412, GO:0006412, GO:0006412, GO:0022625, GO:0022625, GO:0022625, GO:0022625, GO:0042254"
"Contig10375"	"Contig10375"	"AT1G64510,AT3G53570"	0.776750359585631	1	0.00281727261747356	1	"GO:0003735, GO:0003735, GO:0005840, GO:0006412, GO:0006412, GO:0006412, GO:0006412, GO:0006412, GO:0006412, GO:0009507, GO:0009507, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009535, GO:0009579, GO:0019843, GO:0042254, GO:0005515, GO:0006355, GO:0006355, GO:0016301"
"Contig10378"	"Contig10378"	"NA,NA"	0.865241307045443	0.745535264389261	0.00242656973191063	1	NA
