GO:0000003	Reproduction
GO:0071492	cellular response to UV-A 
GO:0071493        cellular response to UV-B
GO:0071494	cellular response to UV-C 
GO:0071708	immunoglobulin light chain V-J recombination  	
GO:0080021        response to benzoic acid stimulus
GO:0080026        response to indolebutyric acid stimulus
GO:0080092        regulation of pollen tube growth
GO:0080093        regulation of photorespiration
GO:0080094        response to trehalose-6-phosphate stimulus
GO:0080110        sporopollenin biosynthetic process
GO:0080136        priming of cellular response to stress
GO:0080154 	regulation of fertilization
GO:0085033	positive regulation by symbiont of host I-kappaB kinase/NF-kappaB cascade 
GO:0090227	regulation of red or far-red light signaling pathway  	
GO:0090228	positive regulation of red or far-red light signaling pathway  	
GO:0090229	negative regulation of red or far-red light signaling pathway  	
GO:0090404        pollen tube tip
GO:0090406        pollen tube
GO:0090428 perianth development
GO:2000028 regulation of photoperiodism, flowering
GO:2000030	regulation of response to red or far red light  	
GO:2000070	regulation of response to water deprivation 
GO:2000241 	regulation of reproductive process
GO:2000242 	negative regulation of reproductive process
GO:2000243 	positive regulation of reproductive process
GO:2000306	positive regulation of photomorphogenesis 
