"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in classic"	"classic"	"elim"	"weight"	"weight01"	"lea"	"parentchild"
"26"	"GO:0090316"	"positive regulation of intracellular pro..."	14	9	2.43	131	"0.00012"	"0.17323"	"0.00012"	"0.17323"	"0.00012"	"4.1e-05"
"27"	"GO:0006468"	"protein phosphorylation"	1490	318	258.35	106	"2.8e-05"	"0.00012"	"0.00012"	"0.00022"	"2.8e-05"	"7.8e-05"
"28"	"GO:0045962"	"positive regulation of development, hete..."	17	10	2.95	136	"0.00014"	"0.00014"	"0.00014"	"0.00014"	"0.00014"	"0.11052"
"29"	"GO:0015712"	"hexose phosphate transport"	23	12	3.99	137	"0.00015"	"0.43478"	"0.00015"	"0.43478"	"0.00015"	"0.00020"
"30"	"GO:0006338"	"chromatin remodeling"	40	17	6.94	140	"0.00017"	"0.00017"	"0.00017"	"1.4e-05"	"0.00017"	"1.7e-06"
"31"	"GO:0048864"	"stem cell development"	94	31	16.3	141	"0.00017"	"0.00807"	"0.00017"	"0.31609"	"0.00017"	"0.00640"
"32"	"GO:0009593"	"detection of chemical stimulus"	99	32	17.17	143	"0.00021"	"0.00722"	"0.00021"	"0.34520"	"0.00021"	"0.00368"
"33"	"GO:0010306"	"rhamnogalacturonan II biosynthetic proce..."	15	9	2.6	149	"0.00026"	"0.00026"	"0.00026"	"0.00026"	"0.00026"	"0.00075"
"34"	"GO:0010160"	"formation of organ boundary"	10	7	1.73	159	"0.00034"	"0.00034"	"0.00034"	"0.00034"	"0.00034"	"0.00061"
"35"	"GO:0045730"	"respiratory burst"	10	7	1.73	160	"0.00034"	"0.00034"	"0.00034"	"0.00034"	"0.00034"	"0.00020"
"36"	"GO:0035436"	"triose phosphate transmembrane transport"	25	12	4.33	166	"0.00040"	"0.00040"	"0.00040"	"0.00040"	"0.00040"	"0.00067"
"37"	"GO:0009408"	"response to heat"	352	86	61.03	168	"0.00045"	"0.00045"	"0.00045"	"0.00052"	"0.00045"	"0.00871"
"38"	"GO:0010025"	"wax biosynthetic process"	62	22	10.75	174	"0.00047"	"0.00047"	"0.00047"	"0.00047"	"0.00047"	"0.00015"
"39"	"GO:0009611"	"response to wounding"	372	90	64.5	176	"0.00047"	"0.00047"	"0.00047"	"0.00054"	"0.00047"	"0.00965"
"40"	"GO:0009649"	"entrainment of circadian clock"	19	10	3.29	178	"0.00049"	"0.00049"	"0.00049"	"0.00049"	"0.00049"	"0.00136"
"41"	"GO:0009825"	"multidimensional cell growth"	75	34	13	43	"1.7e-08"	"0.00051"	"0.00069"	"0.00051"	"1.7e-08"	"4.5e-07"
"42"	"GO:0009624"	"response to nematode"	145	41	25.14	186	"0.00073"	"0.00073"	"0.00073"	"0.00073"	"0.00073"	"0.00223"
"43"	"GO:0009965"	"leaf morphogenesis"	219	57	37.97	187	"0.00079"	"0.00079"	"0.00079"	"0.00045"	"0.00079"	"0.01387"
"44"	"GO:0048439"	"flower morphogenesis"	11	7	1.91	188	"0.00081"	"0.00081"	"0.00081"	"0.00081"	"0.00081"	"0.00506"
"45"	"GO:0051085"	"chaperone mediated protein folding requi..."	11	7	1.91	189	"0.00081"	"0.00081"	"0.00081"	"0.00081"	"0.00081"	"0.05794"
"46"	"GO:0006560"	"proline metabolic process"	24	11	4.16	201	"0.00114"	"0.03001"	"0.00114"	"0.03001"	"0.00114"	"0.00107"
"47"	"GO:0009821"	"alkaloid biosynthetic process"	35	14	6.07	203	"0.00131"	"0.00131"	"0.00131"	"0.00131"	"0.00131"	"0.00320"
"48"	"GO:0006606"	"protein import into nucleus"	96	29	16.65	206	"0.00136"	"0.00136"	"0.00136"	"0.00075"	"0.00136"	"8.9e-05"
"49"	"GO:0006265"	"DNA topological change"	28	12	4.85	209	"0.00141"	"0.00141"	"0.00141"	"0.00141"	"0.00141"	"0.00037"
"50"	"GO:0019400"	"alditol metabolic process"	57	19	9.88	234	"0.00256"	"1.00000"	"0.00143"	"1.00000"	"1.00000"	"0.00220"
